Date,Open,High,Low,Close
03-05-2013,141.70,142.710007,141.399994,142.089996
06-05-2013,142.33,142.460007,141.630005,142.149994
07-05-2013,140.38,140.639999,139.369995,140.380005
08-05-2013,141.78,142.809998,141.490005,142.460007
09-05-2013,141.33,142.360001,140.509995,140.809998
10-05-2013,138.22,139.75,137.259995,139.600006
13-05-2013,138.46,138.970001,138.160004,138.429993
14-05-2013,137.95,139.160004,137.639999,137.809998
15-05-2013,136.59,136.979996,134.229996,134.630005
16-05-2013,133.18,134.479996,133,134.089996
17-05-2013,133.17,133.479996,131.020004,131.070007
20-05-2013,130.88,135.320007,130.850006,135.119995
21-05-2013,132.17,133.649994,131.449997,132.880005
22-05-2013,134.18,136.770004,130.949997,131.940002
23-05-2013,134.51,134.839996,133.119995,134.610001
24-05-2013,134.11,134.509995,133.639999,133.759995
28-05-2013,133.68,135.570007,132.800003,133.490005
29-05-2013,134.09,134.910004,133.639999,134.830002
30-05-2013,136.67,137.110001,136.259995,136.699997
31-05-2013,135.71,136.050003,133.889999,133.919998
03-06-2013,134.77,136.979996,134.429993,136.509995
04-06-2013,135.21,135.440002,134.270004,135.229996
05-06-2013,135.47,136.369995,135.009995,135.520004
06-06-2013,135.39,137.619995,134.979996,136.529999
07-06-2013,134.11,134.619995,133.179993,133.279999
10-06-2013,133.30,134.279999,132.990005,133.940002
11-06-2013,132.31,133.509995,132.240005,133.25
12-06-2013,132.95,134.830002,132.830002,134.25
13-06-2013,133.31,134.199997,132.820007,133.740005
14-06-2013,134.00,134.600006,133.880005,134.429993
17-06-2013,133.89,134.059998,133.520004,133.770004
18-06-2013,132.72,132.960007,131.529999,132.130005
19-06-2013,132.58,133.149994,130.380005,130.589996
20-06-2013,125.22,126.379997,123.330002,123.599998
21-06-2013,125.16,125.57,124.459999,125.050003
24-06-2013,124.31,124.699997,123.309998,123.93
25-06-2013,123.65,123.900002,122.879997,123.470001
01-07-2013,119.94,121.949997,119.379997,121.129997
02-07-2013,121.34,121.470001,119.779999,120.050003
03-07-2013,120.70,121.769997,120.540001,120.739998
05-07-2013,118.08,118.18,116.739998,118.089996
08-07-2013,119.09,119.660004,118.93,119.510002
09-07-2013,120.84,121.510002,120.050003,120.620003
10-07-2013,121.15,122.349998,120.589996,120.949997
11-07-2013,124.26,124.360001,123.470001,124.239998
12-07-2013,123.52,124.300003,123.32,124.129997
15-07-2013,124.08,124.389999,123.839996,124.18
16-07-2013,124.76,125.209999,124.330002,124.889999
17-07-2013,125.04,125.699997,122.730003,123.32
18-07-2013,124.11,124.519997,123.779999,124.010002
19-07-2013,124.89,125.419998,124.650002,125.110001
22-07-2013,127.65,129.460007,127.589996,128.839996
23-07-2013,128.70,130.139999,128.350006,129.710007
24-07-2013,129.17,129.399994,126.870003,127.480003
25-07-2013,127.70,128.869995,127.639999,128.669998
26-07-2013,128.11,128.970001,126.779999,128.779999
29-07-2013,128.45,128.779999,128.25,128.470001
30-07-2013,127.95,128.309998,127.220001,128.119995
01-08-2013,127.84,127.889999,126.330002,126.610001
02-08-2013,126.74,127.25,126.32,126.360001
05-08-2013,126.51,126.639999,125.339996,125.699997
06-08-2013,124.33,124.550003,123.550003,123.970001
07-08-2013,124.00,124.599998,123.849998,124.150002
08-08-2013,124.78,126.989998,124.769997,126.860001
09-08-2013,126.51,127.269997,126.300003,126.860001
12-08-2013,129.57,129.710007,128.880005,129.130005
13-08-2013,128.49,128.649994,127.379997,127.739998
14-08-2013,127.66,129.070007,127.57,129
16-08-2013,132.56,133.270004,131.389999,132.580002
19-08-2013,132.33,132.5,131.589996,132.009995
20-08-2013,132.03,133.130005,132.020004,132.449997
21-08-2013,131.74,133.229996,131.509995,132.070007
22-08-2013,132.56,133.460007,132.270004,132.809998
23-08-2013,132.58,135.240005,132.5,134.899994
26-08-2013,134.88,135.600006,134.149994,135.449997
27-08-2013,136.94,137.550003,136.520004,136.75
28-08-2013,137.21,137.460007,136.660004,136.710007
29-08-2013,136.12,136.550003,135.419998,135.869995
30-08-2013,134.65,135.710007,134.440002,134.619995
03-09-2013,135.46,136.789993,135.029999,136.419998
04-09-2013,134.61,134.839996,133.720001,134.660004
05-09-2013,134.13,134.350006,131.800003,132.199997
06-09-2013,133.42,134.399994,133.330002,134.149994
09-09-2013,134.13,134.320007,133.669998,133.910004
10-09-2013,131.82,132,131.110001,131.740005
11-09-2013,131.58,131.809998,131.259995,131.699997
12-09-2013,128.62,128.779999,127.610001,127.669998
13-09-2013,127.16,127.959999,126.209999,127.82
16-09-2013,127.48,128.020004,126.330002,126.449997
17-09-2013,126.81,126.989998,126.110001,126.5
18-09-2013,125.32,132.160004,125.150002,132.009995
19-09-2013,132.00,132.779999,131.220001,131.75
20-09-2013,130.60,130.910004,127.900002,127.959999
23-09-2013,127.52,128.440002,127.330002,127.550003
24-09-2013,126.40,128.210007,126.339996,127.660004
25-09-2013,127.57,129.210007,127.519997,128.789993
26-09-2013,128.61,128.990005,127.32,127.790001
27-09-2013,128.86,129.580002,128.839996,128.970001
30-09-2013,127.95,129.139999,127.699997,128.179993
01-10-2013,125.25,125.260002,123.809998,124.589996
03-10-2013,126.77,127.690002,126.220001,127.18
04-10-2013,127.05,127.150002,126,126.529999
07-10-2013,127.25,128.330002,127.120003,127.639999
08-10-2013,127.79,128.449997,127.209999,127.400002
09-10-2013,126.21,126.889999,124.970001,126.110001
10-10-2013,125.34,125.830002,124.099998,124.269997
11-10-2013,122.37,122.809998,121.849998,122.599998
14-10-2013,123.90,124.239998,122.809998,122.830002
15-10-2013,122.28,124.360001,122.220001,123.730003
16-10-2013,123.52,123.889999,122.510002,123.540001
17-10-2013,127.01,127.860001,126.809998,127.419998
18-10-2013,126.87,127.330002,126.599998,126.849998
21-10-2013,127.13,127.339996,126.790001,126.980003
22-10-2013,128.25,129.809998,128.220001,129.339996
23-10-2013,128.55,129.089996,128.350006,128.690002
24-10-2013,129.41,130.529999,129.410004,129.899994
25-10-2013,129.53,130.919998,129.460007,130.460007
28-10-2013,130.41,131.440002,130.100006,130.559998
29-10-2013,130.16,130.589996,129.570007,129.770004
30-10-2013,130.83,131.220001,128.809998,129.600006
01-11-2013,126.86,127.169998,126.050003,126.949997
04-11-2013,127.18,127.519997,126.739998,126.809998
05-11-2013,126.71,126.860001,126,126.559998
06-11-2013,127.11,127.360001,126.919998,127.199997
07-11-2013,126.14,126.849998,125.860001,126.160004
08-11-2013,124.46,124.459999,123.620003,124.279999
11-11-2013,123.92,123.970001,123.660004,123.870003
12-11-2013,123.51,123.870003,121.730003,122.449997
13-11-2013,122.97,123.239998,122.389999,122.849998
14-11-2013,123.92,124.910004,123.879997,124.269997
15-11-2013,124.16,124.519997,124.07,124.32
18-11-2013,123.70,123.959999,122.550003,122.900002
19-11-2013,122.97,123.400002,122.830002,122.949997
20-11-2013,121.67,122.440002,119.760002,120.120003
21-11-2013,119.81,120.349998,119.309998,119.940002
22-11-2013,120.24,120.400002,119.82,119.919998
25-11-2013,119.18,121,119.129997,120.459999
26-11-2013,119.84,120.400002,119.589996,119.82
27-11-2013,120.49,120.690002,119.25,119.459999
29-11-2013,120.67,121.050003,120.620003,120.699997
02-12-2013,119.20,119.290001,117.5,117.580002
03-12-2013,117.58,118.309998,117.230003,117.959999
04-12-2013,118.33,120.760002,118.160004,119.959999
05-12-2013,118.20,119.239998,117.410004,118.300003
06-12-2013,118.86,119.260002,118.010002,118.550003
09-12-2013,118.99,119.919998,118.949997,119.720001
10-12-2013,122.14,122.32,121.470001,121.82
11-12-2013,121.49,121.809998,120.760002,120.860001
12-12-2013,118.61,118.82,118.029999,118.290001
13-12-2013,118.89,119.489998,118.760002,119.379997
02-01-2014,117.93,118.730003,117.75,118
03-01-2014,118.64,119.620003,118.589996,119.290001
06-01-2014,119.76,120.389999,117.110001,119.5
07-01-2014,118.46,118.919998,118.129997,118.82
08-01-2014,117.99,118.519997,117.5,118.120003
09-01-2014,118.11,118.690002,117.989998,118.459999
10-01-2014,119.72,120.43,119.580002,120.260002
13-01-2014,120.27,121.040001,120.199997,121.019997
14-01-2014,120.54,121.059998,119.720001,119.889999
15-01-2014,119.19,119.809998,119.110001,119.660004
16-01-2014,119.84,119.959999,119.57,119.790001
17-01-2014,120.35,121.019997,120.199997,120.93
21-01-2014,119.23,119.970001,119.230003,119.699997
22-01-2014,119.65,119.769997,119.169998,119.190002
23-01-2014,120.97,122.019997,120.970001,121.790001
24-01-2014,122.06,122.5,121.550003,122.290001
27-01-2014,121.65,122.059998,120.720001,120.959999
28-01-2014,121.32,121.400002,120.410004,120.949997
29-01-2014,122.19,122.510002,121.129997,122.470001
30-01-2014,119.67,120.220001,119.599998,119.769997
03-02-2014,120.47,122.110001,120.32,121.32
04-02-2014,120.41,121.089996,120.389999,120.989998
05-02-2014,121.76,121.879997,120.730003,121.290001
06-02-2014,121.38,121.510002,120.779999,121.239998
07-02-2014,121.24,122.239998,121.230003,122.169998
10-02-2014,122.80,123.160004,122.720001,122.919998
11-02-2014,123.38,124.75,123.360001,124.360001
12-02-2014,124.40,124.980003,124.129997,124.43
13-02-2014,124.70,125.599998,124.660004,125.489998
14-02-2014,126.99,127.379997,126.75,127.150002
18-02-2014,127.42,127.75,127.089996,127.400002
19-02-2014,127.26,127.449997,126.160004,126.269997
20-02-2014,126.75,127.75,126.400002,127.599998
21-02-2014,127.57,128.070007,127.150002,127.580002
24-02-2014,128.51,129.070007,128.339996,128.990005
25-02-2014,128.62,129.529999,128.570007,129.210007
26-02-2014,128.49,128.759995,127.419998,128.110001
27-02-2014,128.40,128.800003,127.889999,128.199997
03-03-2014,130.00,130.589996,129.809998,130.289993
04-03-2014,128.54,129.240005,128.320007,128.679993
05-03-2014,128.71,129.339996,128.580002,128.889999
06-03-2014,129.71,130.470001,129.470001,130.169998
07-03-2014,128.25,129.229996,128.210007,129.089996
10-03-2014,128.88,129.610001,128.779999,129.130005
11-03-2014,130.01,130.149994,128.929993,129.860001
12-03-2014,131.56,132.119995,131.389999,131.759995
13-03-2014,131.69,132.539993,131.559998,132.210007
14-03-2014,133.68,133.690002,132.350006,133.100006
17-03-2014,132.73,133.220001,131.220001,131.639999
18-03-2014,130.39,131.270004,130.330002,130.619995
19-03-2014,129.55,129.679993,127.940002,128.089996
